model_id,task,context_level,outcome,count
llama3.2:latest,routine_inference,C1,incorrect,1
llama3.2:latest,routine_inference,C2,abstained,7
llama3.2:latest,routine_inference,C2,correct,15
llama3.2:latest,routine_inference,C2,incorrect,1
llama3.2:latest,routine_inference,C2,invalid_output,1
llama3.2:latest,routine_inference,C3,abstained,13
llama3.2:latest,routine_inference,C3,correct,10
llama3.2:latest,routine_inference,C3,incorrect,1
llama3.2:latest,routine_inference,C4,abstained,18
llama3.2:latest,routine_inference,C4,incorrect,6
phi3.5:latest,activity_understanding,C0,correct,13
phi3.5:latest,activity_understanding,C0,incorrect,11
phi3.5:latest,activity_understanding,C1,correct,12
phi3.5:latest,activity_understanding,C1,incorrect,12
phi3.5:latest,activity_understanding,C2,correct,11
phi3.5:latest,activity_understanding,C2,incorrect,13
phi3.5:latest,activity_understanding,C3,abstained,7
phi3.5:latest,activity_understanding,C3,correct,1
phi3.5:latest,activity_understanding,C3,incorrect,12
phi3.5:latest,activity_understanding,C3,invalid_output,4
phi3.5:latest,activity_understanding,C4,correct,3
phi3.5:latest,activity_understanding,C4,incorrect,21
phi3.5:latest,co_resident_activity,C0,correct,18
phi3.5:latest,co_resident_activity,C0,incorrect,6
phi3.5:latest,co_resident_activity,C1,correct,18
phi3.5:latest,co_resident_activity,C1,incorrect,6
phi3.5:latest,co_resident_activity,C2,correct,18
phi3.5:latest,co_resident_activity,C2,incorrect,6
phi3.5:latest,co_resident_activity,C3,correct,18
phi3.5:latest,co_resident_activity,C3,incorrect,6
phi3.5:latest,co_resident_activity,C4,abstained,5
phi3.5:latest,co_resident_activity,C4,correct,19
phi3.5:latest,occupancy_state,C0,correct,24
phi3.5:latest,occupancy_state,C1,correct,18
phi3.5:latest,occupancy_state,C1,incorrect,6
phi3.5:latest,occupancy_state,C2,correct,18
phi3.5:latest,occupancy_state,C2,incorrect,6
phi3.5:latest,occupancy_state,C3,correct,18
phi3.5:latest,occupancy_state,C3,incorrect,6
phi3.5:latest,occupancy_state,C4,correct,24
phi3.5:latest,private_location,C0,correct,10
phi3.5:latest,private_location,C0,incorrect,14
phi3.5:latest,private_location,C1,correct,11
phi3.5:latest,private_location,C1,incorrect,12
phi3.5:latest,private_location,C1,invalid_output,1
phi3.5:latest,private_location,C2,correct,11
phi3.5:latest,private_location,C2,incorrect,13
phi3.5:latest,private_location,C3,correct,12
phi3.5:latest,private_location,C3,incorrect,12
phi3.5:latest,private_location,C4,incorrect,23
phi3.5:latest,private_location,C4,invalid_output,1
phi3.5:latest,resident_identity,C0,correct,5
phi3.5:latest,resident_identity,C0,incorrect,18
phi3.5:latest,resident_identity,C0,invalid_output,1
phi3.5:latest,resident_identity,C1,abstained,21
phi3.5:latest,resident_identity,C1,invalid_output,3
phi3.5:latest,resident_identity,C2,abstained,22
phi3.5:latest,resident_identity,C2,incorrect,1
phi3.5:latest,resident_identity,C2,invalid_output,1
phi3.5:latest,resident_identity,C3,abstained,12
phi3.5:latest,resident_identity,C3,invalid_output,12
phi3.5:latest,resident_identity,C4,abstained,6
phi3.5:latest,resident_identity,C4,invalid_output,18
phi3.5:latest,routine_inference,C0,abstained,3
phi3.5:latest,routine_inference,C0,correct,15
phi3.5:latest,routine_inference,C0,incorrect,6
phi3.5:latest,routine_inference,C1,abstained,2
phi3.5:latest,routine_inference,C1,correct,15
phi3.5:latest,routine_inference,C1,incorrect,7
phi3.5:latest,routine_inference,C2,abstained,1
phi3.5:latest,routine_inference,C2,correct,20
phi3.5:latest,routine_inference,C2,incorrect,2
phi3.5:latest,routine_inference,C2,invalid_output,1
phi3.5:latest,routine_inference,C3,abstained,9
phi3.5:latest,routine_inference,C3,correct,12
phi3.5:latest,routine_inference,C3,incorrect,3
phi3.5:latest,routine_inference,C4,abstained,23
phi3.5:latest,routine_inference,C4,incorrect,1
qwen3-local:latest,activity_understanding,C0,abstained,11
qwen3-local:latest,activity_understanding,C0,correct,7
qwen3-local:latest,activity_understanding,C0,incorrect,6
qwen3-local:latest,activity_understanding,C1,abstained,9
qwen3-local:latest,activity_understanding,C1,correct,7
qwen3-local:latest,activity_understanding,C1,incorrect,8
qwen3-local:latest,activity_understanding,C2,abstained,10
qwen3-local:latest,activity_understanding,C2,correct,6
qwen3-local:latest,activity_understanding,C2,incorrect,8
qwen3-local:latest,activity_understanding,C3,abstained,24
qwen3-local:latest,activity_understanding,C4,abstained,23
qwen3-local:latest,activity_understanding,C4,incorrect,1
qwen3-local:latest,co_resident_activity,C0,correct,22
qwen3-local:latest,co_resident_activity,C0,incorrect,2
qwen3-local:latest,co_resident_activity,C1,correct,18
qwen3-local:latest,co_resident_activity,C1,incorrect,6
qwen3-local:latest,co_resident_activity,C2,correct,18
qwen3-local:latest,co_resident_activity,C2,incorrect,6
qwen3-local:latest,co_resident_activity,C3,correct,18
qwen3-local:latest,co_resident_activity,C3,incorrect,6
qwen3-local:latest,co_resident_activity,C4,correct,24
qwen3-local:latest,occupancy_state,C0,correct,24
qwen3-local:latest,occupancy_state,C1,correct,18
qwen3-local:latest,occupancy_state,C1,incorrect,6
qwen3-local:latest,occupancy_state,C2,correct,18
qwen3-local:latest,occupancy_state,C2,incorrect,6
qwen3-local:latest,occupancy_state,C3,correct,18
qwen3-local:latest,occupancy_state,C3,incorrect,6
qwen3-local:latest,occupancy_state,C4,correct,24
qwen3-local:latest,private_location,C0,abstained,12
qwen3-local:latest,private_location,C0,correct,9
qwen3-local:latest,private_location,C0,incorrect,3
qwen3-local:latest,private_location,C1,abstained,7
qwen3-local:latest,private_location,C1,correct,11
qwen3-local:latest,private_location,C1,incorrect,6
qwen3-local:latest,private_location,C2,abstained,6
qwen3-local:latest,private_location,C2,correct,11
qwen3-local:latest,private_location,C2,incorrect,7
qwen3-local:latest,private_location,C3,abstained,9
qwen3-local:latest,private_location,C3,correct,12
qwen3-local:latest,private_location,C3,incorrect,3
qwen3-local:latest,private_location,C4,abstained,24
qwen3-local:latest,resident_identity,C0,abstained,13
qwen3-local:latest,resident_identity,C0,correct,6
qwen3-local:latest,resident_identity,C0,incorrect,5
qwen3-local:latest,resident_identity,C1,abstained,24
qwen3-local:latest,resident_identity,C2,abstained,24
qwen3-local:latest,resident_identity,C3,abstained,24
qwen3-local:latest,resident_identity,C4,abstained,24
qwen3-local:latest,routine_inference,C0,abstained,11
qwen3-local:latest,routine_inference,C0,correct,7
qwen3-local:latest,routine_inference,C0,incorrect,6
qwen3-local:latest,routine_inference,C1,abstained,11
qwen3-local:latest,routine_inference,C1,correct,7
qwen3-local:latest,routine_inference,C1,incorrect,6
qwen3-local:latest,routine_inference,C2,correct,10
qwen3-local:latest,routine_inference,C2,incorrect,14
qwen3-local:latest,routine_inference,C3,abstained,2
qwen3-local:latest,routine_inference,C3,correct,2
qwen3-local:latest,routine_inference,C3,incorrect,20
qwen3-local:latest,routine_inference,C4,abstained,5
qwen3-local:latest,routine_inference,C4,incorrect,19
